2025-08-16 07:11:52,347 - __main__ - INFO - Running <class 'tmu.models.classification.vanilla_classifier.TMClassifier'> for 400 epochs in Kernel 7,64 and s8.0, T300, Cl120
2025-08-16 07:16:37,418 - __main__ - INFO - Epoch: 1, Train Accuracy: 70.02, Valid Accuracy: 74.43, Test Accuracy: 74.00, Training Time: 258.37s, Valid Time: 12.80s, Testing Time: 13.90s
2025-08-16 07:21:23,816 - __main__ - INFO - Epoch: 2, Train Accuracy: 73.32, Valid Accuracy: 77.24, Test Accuracy: 76.94, Training Time: 258.67s, Valid Time: 13.31s, Testing Time: 14.42s
2025-08-16 07:26:14,190 - __main__ - INFO - Epoch: 3, Train Accuracy: 75.38, Valid Accuracy: 78.80, Test Accuracy: 78.73, Training Time: 262.39s, Valid Time: 13.40s, Testing Time: 14.58s
2025-08-16 07:31:06,798 - __main__ - INFO - Epoch: 4, Train Accuracy: 76.62, Valid Accuracy: 80.49, Test Accuracy: 80.31, Training Time: 264.44s, Valid Time: 13.49s, Testing Time: 14.68s
2025-08-16 07:35:59,813 - __main__ - INFO - Epoch: 5, Train Accuracy: 77.50, Valid Accuracy: 81.60, Test Accuracy: 81.27, Training Time: 264.85s, Valid Time: 13.49s, Testing Time: 14.67s
2025-08-16 07:40:52,797 - __main__ - INFO - Epoch: 6, Train Accuracy: 78.12, Valid Accuracy: 81.85, Test Accuracy: 80.64, Training Time: 264.81s, Valid Time: 13.50s, Testing Time: 14.67s
2025-08-16 07:45:46,382 - __main__ - INFO - Epoch: 7, Train Accuracy: 78.14, Valid Accuracy: 80.71, Test Accuracy: 81.03, Training Time: 265.37s, Valid Time: 13.52s, Testing Time: 14.69s
2025-08-16 07:50:39,755 - __main__ - INFO - Epoch: 8, Train Accuracy: 78.84, Valid Accuracy: 81.83, Test Accuracy: 82.05, Training Time: 265.15s, Valid Time: 13.52s, Testing Time: 14.70s
2025-08-16 07:55:32,629 - __main__ - INFO - Epoch: 9, Train Accuracy: 78.84, Valid Accuracy: 82.00, Test Accuracy: 82.46, Training Time: 264.72s, Valid Time: 13.49s, Testing Time: 14.66s
2025-08-16 08:00:25,520 - __main__ - INFO - Epoch: 10, Train Accuracy: 79.43, Valid Accuracy: 82.20, Test Accuracy: 82.94, Training Time: 264.72s, Valid Time: 13.50s, Testing Time: 14.66s
2025-08-16 08:05:18,625 - __main__ - INFO - Epoch: 11, Train Accuracy: 79.78, Valid Accuracy: 82.54, Test Accuracy: 83.39, Training Time: 264.91s, Valid Time: 13.50s, Testing Time: 14.69s
2025-08-16 08:10:11,602 - __main__ - INFO - Epoch: 12, Train Accuracy: 80.00, Valid Accuracy: 82.58, Test Accuracy: 83.57, Training Time: 264.76s, Valid Time: 13.49s, Testing Time: 14.72s
2025-08-16 08:15:04,065 - __main__ - INFO - Epoch: 13, Train Accuracy: 80.22, Valid Accuracy: 82.78, Test Accuracy: 82.96, Training Time: 264.33s, Valid Time: 13.47s, Testing Time: 14.66s
2025-08-16 08:19:56,273 - __main__ - INFO - Epoch: 14, Train Accuracy: 80.15, Valid Accuracy: 82.03, Test Accuracy: 82.92, Training Time: 264.09s, Valid Time: 13.47s, Testing Time: 14.64s
2025-08-16 08:24:48,504 - __main__ - INFO - Epoch: 15, Train Accuracy: 80.62, Valid Accuracy: 83.03, Test Accuracy: 83.55, Training Time: 264.10s, Valid Time: 13.47s, Testing Time: 14.65s
2025-08-16 08:29:40,620 - __main__ - INFO - Epoch: 16, Train Accuracy: 81.02, Valid Accuracy: 83.16, Test Accuracy: 83.82, Training Time: 264.01s, Valid Time: 13.46s, Testing Time: 14.63s
2025-08-16 08:34:32,958 - __main__ - INFO - Epoch: 17, Train Accuracy: 81.05, Valid Accuracy: 83.27, Test Accuracy: 83.63, Training Time: 264.21s, Valid Time: 13.47s, Testing Time: 14.65s
2025-08-16 08:39:25,173 - __main__ - INFO - Epoch: 18, Train Accuracy: 80.99, Valid Accuracy: 83.47, Test Accuracy: 84.11, Training Time: 264.09s, Valid Time: 13.47s, Testing Time: 14.65s
